codigo_estudiante,tipo_examen,carrera_asignada,puntaje_matematica,puntaje_ciencias,puntaje_humanidades,puntaje_aptitud,puntaje_ciencias_carrera,puntaje_humanidades_carrera,puntaje_ingenieria_carrera,carrera_recomendada,puntaje_total
028164,J,B,17.5,7.5,7.5,20.0,62.5,52.5,82.5,Ingeniería,82.5
028161,I,B,0.0,5.0,0.0,26.0,41.0,31.0,31.0,Ciencias,41.0
028159,F,B,5.0,7.5,30.0,35.0,72.5,77.5,67.5,Humanidades,77.5
028157,K,B,7.0,10.0,40.5,39.0,89.5,96.5,83.5,Humanidades,96.5
028155,H,B,12.5,10.0,9.0,45.0,90.5,76.5,95.5,Ingeniería,95.5
028153,G,B,7.5,12.5,0.0,12.0,57.0,32.0,47.0,Ciencias,57.0
028188,F,B,12.5,2.5,22.5,15.0,42.5,52.5,62.5,Ingeniería,62.5
028163,K,B,0.0,2.5,19.5,20.0,34.0,42.0,29.0,Humanidades,42.0
028162,H,B,5.0,5.0,0.0,15.0,35.0,25.0,35.0,Ciencias,35.0
028160,G,B,10.0,7.5,30.0,25.0,67.5,72.5,72.5,Humanidades,72.5
028158,L,B,2.5,7.5,15.0,0.0,30.0,25.0,20.0,Ciencias,30.0
028156,J,B,22.5,15.0,45.0,23.0,105.5,105.5,120.5,Ingeniería,120.5
028154,I,B,8.0,12.5,22.5,25.0,78.0,68.0,69.0,Ciencias,78.0
028175,J,B,20.0,17.5,82.5,60.0,160.0,180.0,165.0,Humanidades,180.0
028174,I,B,10.0,12.5,45.0,50.0,112.5,117.5,107.5,Humanidades,117.5
028171,H,B,2.5,5.0,0.0,30.0,47.5,37.5,42.5,Ciencias,47.5
028169,G,B,14.5,17.5,64.5,17.0,105.5,113.5,99.5,Humanidades,113.5
028167,L,B,2.5,2.5,7.5,0.0,12.5,12.5,12.5,Ciencias,12.5
028165,F,B,16.0,10.0,16.5,52.0,103.5,94.5,115.5,Ingeniería,115.5
028176,K,B,9.5,6.0,15.0,28.0,60.5,58.5,67.5,Ingeniería,67.5
028173,L,B,4.0,15.0,30.0,0.0,59.0,49.0,37.0,Ciencias,59.0
028172,F,B,9.5,11.5,12.0,22.0,70.0,55.0,66.0,Ciencias,70.0
028170,H,B,6.0,10.0,36.0,23.0,71.0,75.0,63.0,Humanidades,75.0
028168,I,B,7.5,2.5,0.0,5.0,20.0,15.0,30.0,Ingeniería,30.0
028166,J,B,22.5,10.0,30.0,31.0,93.5,93.5,118.5,Ingeniería,118.5
028177,I,B,5.0,7.5,15.0,25.0,57.5,52.5,52.5,Ciencias,57.5
028179,H,B,5.0,15.0,15.0,26.0,81.0,61.0,61.0,Ciencias,81.0
028181,F,B,10.5,8.0,31.5,36.0,81.0,86.0,86.0,Humanidades,86.0
028183,G,B,5.0,1.0,60.0,16.0,44.0,82.0,52.0,Humanidades,82.0
028186,L,B,9.5,5.0,19.5,35.0,66.0,69.0,75.0,Ingeniería,75.0
028187,K,B,3.0,0.0,15.0,19.0,27.0,37.0,33.0,Humanidades,37.0
028178,G,B,18.0,0.0,63.0,33.0,72.0,114.0,108.0,Humanidades,114.0
028180,J,B,17.5,15.0,60.0,75.0,157.5,167.5,162.5,Humanidades,167.5
028184,L,B,12.5,3.0,30.0,0.0,31.5,45.5,50.5,Ingeniería,50.5
028185,F,B,8.0,6.0,10.5,28.0,57.5,52.5,61.5,Ingeniería,61.5
028182,K,B,7.5,12.5,15.0,0.0,50.0,35.0,40.0,Ciencias,50.0
028148,K,B,15.0,10.0,28.5,44.0,98.5,97.5,108.5,Ingeniería,108.5
028145,G,B,13.5,7.5,60.0,1.0,57.0,82.0,69.0,Humanidades,82.0
028147,I,B,12.5,1.5,12.0,21.0,42.0,47.0,64.0,Ingeniería,64.0
028152,H,B,0.0,5.0,16.5,45.0,65.5,66.5,55.5,Humanidades,66.5
028151,G,B,12.0,3.0,45.0,18.0,54.0,78.0,72.0,Humanidades,78.0
028146,J,B,7.5,0.0,0.0,26.0,33.5,33.5,48.5,Ingeniería,48.5
028150,F,B,17.5,7.5,15.0,75.0,120.0,115.0,140.0,Ingeniería,140.0
028149,L,B,0.0,0.0,37.5,55.0,67.5,92.5,67.5,Humanidades,92.5
028144,H,B,7.5,0.0,7.5,0.0,10.0,15.0,25.0,Ingeniería,25.0
028143,F,B,5.0,0.0,39.0,12.0,30.0,56.0,40.0,Humanidades,56.0
028135,L,B,0.0,2.5,37.5,16.0,36.0,56.0,31.0,Humanidades,56.0
028142,K,B,15.0,7.5,60.0,25.0,82.5,107.5,97.5,Humanidades,107.5
028141,L,B,0.0,8.5,3.0,19.0,45.5,30.5,28.5,Ciencias,45.5
028140,I,B,5.5,10.0,37.5,11.0,59.0,64.0,50.0,Humanidades,64.0
028134,K,B,15.0,7.5,30.0,55.0,102.5,107.5,117.5,Ingeniería,117.5
028133,J,B,17.5,17.5,45.0,25.0,110.0,105.0,110.0,Ciencias,110.0
028132,I,B,15.0,10.0,15.0,35.0,85.0,75.0,95.0,Ingeniería,95.0
028139,J,B,0.0,12.5,0.0,11.0,48.5,23.5,23.5,Ciencias,48.5
028138,G,B,3.0,2.5,15.0,0.0,15.5,20.5,16.5,Humanidades,20.5
028131,H,B,2.5,16.0,28.5,29.0,89.0,76.0,62.0,Ciencias,89.0
028130,G,B,15.0,2.5,54.0,1.0,41.5,72.5,66.5,Humanidades,72.5
028137,H,B,7.5,2.5,0.0,20.0,35.0,30.0,45.0,Ingeniería,45.0
028136,F,B,12.5,5.0,30.0,35.0,72.5,82.5,87.5,Ingeniería,87.5
028129,F,B,13.0,7.0,13.5,34.0,72.5,67.5,84.5,Ingeniería,84.5
028128,L,B,5.0,5.5,52.5,25.0,64.0,88.0,63.0,Humanidades,88.0
028117,H,B,15.0,21.5,46.5,42.0,137.0,125.0,124.0,Ciencias,137.0
028118,I,B,2.5,4.5,15.0,0.0,21.0,22.0,17.0,Humanidades,22.0
028127,K,B,6.0,7.5,10.5,30.0,62.0,54.0,59.0,Ciencias,62.0
028119,J,B,20.0,10.0,22.5,35.0,92.5,87.5,112.5,Ingeniería,112.5
028126,J,B,12.5,7.5,0.0,46.0,81.0,66.0,91.0,Ingeniería,91.0
028125,I,B,0.0,20.0,15.0,45.0,110.0,80.0,70.0,Ciencias,110.0
028124,H,B,0.0,0.0,7.5,6.0,8.5,13.5,8.5,Humanidades,13.5
028122,F,B,7.5,5.0,22.5,3.0,33.0,38.0,38.0,Humanidades,38.0
028123,G,B,10.0,15.0,75.0,37.0,117.0,137.0,107.0,Humanidades,137.0
028121,L,B,1.0,1.5,10.5,38.0,47.0,51.0,46.0,Humanidades,51.0
028120,K,B,5.5,5.0,30.0,47.0,77.5,87.5,78.5,Humanidades,87.5
028081,I,B,0.0,0.0,0.0,5.0,5.0,5.0,5.0,Ciencias,5.0
028115,I,B,7.5,7.5,7.5,11.0,43.5,33.5,43.5,Ciencias,43.5
